"","sub","item","cond","seq","trial_type","trial_start","trial_end","target_word_n","target_word","target_changed","Dis_on_t","Dis_off_t","boundary","DC_start_t","DC_end_t","boundary_t","boundarycond","Display_time","Display_lat","sacc_start_t","sacc_end_t","sacc_dur","sacc_start_x","sacc_end_x","sacc_ampl","peak_vel","avg_vel","blink","blink_dur","fix_start_t","fix_end_t","fix_dur","question","corrAns","key_resp","RT_q","accuracy","corr_sacc","jhook"
"21",3,5,"identical",21,"exp_1",3202933,3206072,6,"bo?","identical",3203512,3205754,"604",3204646,3204656,3204643,"identical",9.161,3,3204879,3204906,27,615.2,745.1,3.20853,255.644999999999,113.531785714286,"NO",NA,3204647,3204878,231,"No",NA,NA,NA,NA,NA,NA
"22",3,15,"identical",22,"exp_1",3207882,3212074,4,"mal","identical",3208347,3210976,"387",3209101,3209110,3209099,"identical",8.995,2,3209247,3209258,11,384.1,361,0.570570000000001,71.6299999999994,43.6366666666667,"NO",NA,3209097,3209246,149,"Yes","LEFT","left",776.601,1,NA,NA
"23",3,29,"identical",23,"exp_1",3213842,3217160,6,"kez","identical",3214174,3216842,"568",3215088,3215096,3215087,"identical",7.721,1,3215277,3215306,29,572.9,717.7,3.57656,238.354999999999,118.354166666667,"NO",NA,3215089,3215276,187,"No",NA,NA,NA,NA,NA,NA
"24",3,10,"ben",24,"exp_1",3219002,3223737,5,"bot","bir",3219350,3222414,"483",3220431,3220439,3220429,"sacc",7.976,2,3220423,3220442,19,470,532.5,1.54375,132.145,76.57,"NO",NA,3220443,3220888,445,"Yes","LEFT","left",1005.163,1,"Yes",NA
"25",3,16,"ben",25,"exp_1",3226076,3228974,5,"zar","bir",3226600,3228654,"484",3227651,3227659,3227649,"sacc",8.329,2,3227634,3227652,18,440.1,493.8,1.32639,90.1550000000001,67.21,"NO",NA,3227653,3227824,171,"No",NA,NA,NA,NA,"Yes",NA
"26",3,50,"ben",26,"exp_1",3231009,3233992,8,"hep","ben",3231489,3233674,"761",3232761,3232769,3232759,"sacc",7.928,2,3232738,3232764,26,655.3,784.1,3.18136,243.295000000001,117.462222222222,"NO",NA,3232765,3232952,187,"No",NA,NA,NA,NA,"Yes",NA
"27",3,52,"ben",27,"exp_1",3237082,3241061,7,"mum","ben",3237783,3240073,"594",3238848,3238855,3238846,"sacc",6.666,2,3238834,3238862,28,540.5,681.1,3.47282,227.24,118.347068965517,"NO",NA,3238863,3239139,276,"Yes","LEFT","left",667.006,1,"Yes",NA
"28",3,69,"identical",28,"exp_1",3243013,3247156,4,"ton","identical",3243602,3245493,"340",3244164,3244173,3244162,"identical",9.052,2,3244151,3244175,24,300.5,395.4,2.34403,169.195000000001,91.9828,"NO",NA,3244176,3244444,268,"Yes","LEFT","left",1337.564,1,NA,NA
"29",3,28,"ben",29,"exp_1",3249159,3252592,8,"iri","bir",3249621,3251807,"581",3250696,3250705,3250693,"fix",9.006,3,3251040,3251065,25,588.3,687.2,2.44283,187.719999999999,93.6225000000001,"NO",NA,3250695,3251039,344,"Yes","RIGHT","left",455.3,0,"Yes",NA
"30",3,34,"ben",30,"exp_1",3254694,3258645,8,"g?l","bir",3255164,3258328,"617",3256555,3256562,3256554,"sacc",6.453,1,3256541,3256567,26,571.1,674.2,2.54657,167.959999999999,93.9057407407408,"NO",NA,3256568,3256765,197,"No",NA,NA,NA,NA,"Yes",NA
"31",3,26,"ben",31,"exp_1",3261098,3264297,4,"iyi","bir",3261867,3263979,"352",3262565,3262573,3262563,"fix",7.226,2,3262867,3262896,29,351.7,482.9,3.24064,223.535,108.5565,"NO",NA,3262555,3262866,311,"No",NA,NA,NA,NA,"Yes",NA
"32",3,65,"identical",32,"exp_1",3266272,3270799,6,"eve","identical",3266740,3270476,"604",3267981,3267991,3267980,"identical",9.484,1,3267959,3267985,26,501.6,617,2.85038,245.765,105.020740740741,"NO",NA,3267986,3268125,139,"No",NA,NA,NA,NA,NA,NA
"33",3,57,"identical",33,"exp_1",3272825,3277011,7,"sos","identical",3274043,3276688,"519",3274579,3274586,3274577,"identical",6.243,2,3274545,3274580,35,315.5,519.9,5.04868,275.405,140.344027777778,"NO",NA,3275086,3275327,241,"No",NA,NA,NA,NA,NA,NA
"34",3,61,"identical",34,"exp_1",3278831,3282004,3,"k?f","identical",3279758,3281689,"377",3280526,3280533,3280524,"identical",7.154,2,3280754,3280777,23,385.2,474.3,2.20077,159.315,89.5375,"NO",NA,3280526,3280753,227,"No",NA,NA,NA,NA,NA,NA
