images,congruentcy,corrAns,box_pos,box_color,box_x,pract.thisRepN,pract.thisTrialN,pract.thisN,pract.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_instr.keys,key_resp_instr.rt,FixCross.started,FixCross.stopped,Box_p.started,Box_p.stopped,key_resp_P.keys,key_resp_P.corr,key_resp_P.rt,key_resp_P.started,key_resp_P.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,Box.started,Box.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,space,24.029243599999973,,,,,,,,,,,,,,,,,,,,,,,,,18,001,2022_Oct_19_1554,Version4,2021.2.0,240.37190340402893,
red_incongruent,0,k,left,red,-0.6,0,0,0,3,,,,,,,,,,,,,,,35.02624180000021,None,36.264703999999256,None,k,1,1.2334396999995079,36.264703999999256,None,,,,,,,,,,,,,,,,18,001,2022_Oct_19_1554,Version4,2021.2.0,240.37190340402893,
red_neutral,0,k,middle,red,0,0,1,1,4,,,,,,,,,,,,,,,38.517109500000515,None,39.63912390000041,None,k,1,1.7715917999994417,39.63912390000041,None,,,,,,,,,,,,,,,,18,001,2022_Oct_19_1554,Version4,2021.2.0,240.37190340402893,
red_neutral,0,k,middle,red,0,0,2,2,4,,,,,,,,,,,,,,,42.425578999998834,None,43.47663189999912,None,k,1,8.647541599999386,43.47663189999912,None,,,,,,,,,,,,,,,,18,001,2022_Oct_19_1554,Version4,2021.2.0,240.37190340402893,
red_incongruent,0,k,left,red,-0.6,0,3,3,3,,,,,,,,,,,,,,,53.14530509999895,None,54.31305690000045,None,k,1,0.7797393999990163,54.31305690000045,None,,,,,,,,,,,,,,,,18,001,2022_Oct_19_1554,Version4,2021.2.0,240.37190340402893,
red_congruent,1,k,right,red,0.6,0,4,4,1,,,,,,,,,,,,,,,56.110823200000596,None,57.18694730000061,None,k,1,0.5780185000003257,57.18694730000061,None,,,,,,,,,,,,,,,,18,001,2022_Oct_19_1554,Version4,2021.2.0,240.37190340402893,
red_congruent,1,k,right,red,0.6,0,5,5,1,,,,,,,,,,,,,,,58.78449619999992,None,59.86501440000029,None,k,1,0.4283286000008957,59.86501440000029,None,,,,,,,,,,,,,,,,18,001,2022_Oct_19_1554,Version4,2021.2.0,240.37190340402893,
blue_neutral,0,a,middle,blue,0,1,0,6,5,,,,,,,,,,,,,,,61.30799289999959,None,62.38425929999903,None,a,1,0.4536656000000221,62.38425929999903,None,,,,,,,,,,,,,,,,18,001,2022_Oct_19_1554,Version4,2021.2.0,240.37190340402893,
blue_neutral,0,a,middle,blue,0,1,1,7,5,,,,,,,,,,,,,,,63.85654280000017,None,64.91181309999956,None,a,1,0.35018069999932777,64.91181309999956,None,,,,,,,,,,,,,,,,18,001,2022_Oct_19_1554,Version4,2021.2.0,240.37190340402893,
blue_neutral,0,a,middle,blue,0,1,2,8,5,,,,,,,,,,,,,,,66.28412089999983,None,67.36024960000032,None,a,1,0.43007910000051197,67.36024960000032,None,,,,,,,,,,,,,,,,18,001,2022_Oct_19_1554,Version4,2021.2.0,240.37190340402893,
red_congruent,1,k,right,red,0.6,1,3,9,1,,,,,,,,,,,,,,,68.80776519999927,None,69.8672917999993,None,k,1,0.4595517999987351,69.8672917999993,None,,,,,,,,,,,,,,,,18,001,2022_Oct_19_1554,Version4,2021.2.0,240.37190340402893,
red_incongruent,0,k,left,red,-0.6,1,4,10,3,,,,,,,,,,,,,,,71.3479843999994,None,72.49917049999931,None,k,1,0.5002326000012545,72.49917049999931,None,,,,,,,,,,,,,,,,18,001,2022_Oct_19_1554,Version4,2021.2.0,240.37190340402893,
blue_incongruent,0,a,right,blue,0.6,1,5,11,2,,,,,,,,,,,,,,,74.01337339999918,None,75.1686907000003,None,a,1,0.43085489999975835,75.1686907000003,None,,,,,,,,,,,,,,,,18,001,2022_Oct_19_1554,Version4,2021.2.0,240.37190340402893,
red_neutral,0,k,middle,red,0,2,0,12,4,,,,,,,,,,,,,,,76.6160689999997,None,77.73397879999902,None,k,1,0.7218094999989262,77.73397879999902,None,,,,,,,,,,,,,,,,18,001,2022_Oct_19_1554,Version4,2021.2.0,240.37190340402893,
blue_congruent,1,a,left,blue,-0.6,2,1,13,0,,,,,,,,,,,,,,,79.47319210000023,None,80.57859590000044,None,a,1,0.3095432999998593,80.57859590000044,None,,,,,,,,,,,,,,,,18,001,2022_Oct_19_1554,Version4,2021.2.0,240.37190340402893,
blue_congruent,1,a,left,blue,-0.6,2,2,14,0,,,,,,,,,,,,,,,81.90508910000062,None,82.94778740000038,None,a,1,0.3571157000005769,82.94778740000038,None,,,,,,,,,,,,,,,,18,001,2022_Oct_19_1554,Version4,2021.2.0,240.37190340402893,
red_congruent,1,k,right,red,0.6,2,3,15,1,,,,,,,,,,,,,,,84.32840109999961,None,85.49227210000026,None,k,1,0.35669550000056915,85.49227210000026,None,,,,,,,,,,,,,,,,18,001,2022_Oct_19_1554,Version4,2021.2.0,240.37190340402893,
blue_incongruent,0,a,right,blue,0.6,2,4,16,2,,,,,,,,,,,,,,,86.86445249999997,None,87.9492754999992,None,a,1,0.46005609999883745,87.9492754999992,None,,,,,,,,,,,,,,,,18,001,2022_Oct_19_1554,Version4,2021.2.0,240.37190340402893,
red_incongruent,0,k,left,red,-0.6,2,5,17,3,,,,,,,,,,,,,,,89.42967979999958,None,90.52669289999903,None,k,1,0.43484580000040296,90.52669289999903,None,,,,,,,,,,,,,,,,18,001,2022_Oct_19_1554,Version4,2021.2.0,240.37190340402893,
blue_congruent,1,a,left,blue,-0.6,3,0,18,0,,,,,,,,,,,,,,,91.97827730000063,None,93.06684580000001,None,a,1,0.36700240000027406,93.06684580000001,None,,,,,,,,,,,,,,,,18,001,2022_Oct_19_1554,Version4,2021.2.0,240.37190340402893,
blue_incongruent,0,a,right,blue,0.6,3,1,19,2,,,,,,,,,,,,,,,94.4474928999989,None,95.69882449999932,None,a,1,0.5516781999995146,95.69882449999932,None,,,,,,,,,,,,,,,,18,001,2022_Oct_19_1554,Version4,2021.2.0,240.37190340402893,
blue_neutral,0,a,middle,blue,0,3,2,20,5,,,,,,,,,,,,,,,97.27132949999941,None,98.37675809999928,None,a,1,0.4258462999987387,98.37675809999928,None,,,,,,,,,,,,,,,,18,001,2022_Oct_19_1554,Version4,2021.2.0,240.37190340402893,
red_neutral,0,k,middle,red,0,3,3,21,4,,,,,,,,,,,,,,,99.81985949999944,None,101.04199659999904,None,k,1,0.3690759999990405,101.04199659999904,None,,,,,,,,,,,,,,,,18,001,2022_Oct_19_1554,Version4,2021.2.0,240.37190340402893,
blue_incongruent,0,a,right,blue,0.6,3,4,22,2,,,,,,,,,,,,,,,102.4310532999989,None,103.53637189999972,None,a,1,0.4909602999996423,103.53637189999972,None,,,,,,,,,,,,,,,,18,001,2022_Oct_19_1554,Version4,2021.2.0,240.37190340402893,
blue_congruent,1,a,left,blue,-0.6,3,5,23,0,,,,,,,,,,,,,,,105.04633069999909,None,106.1265543999998,None,a,1,0.4291083999996772,106.1265543999998,None,,,,,,,,,,,,,,,,18,001,2022_Oct_19_1554,Version4,2021.2.0,240.37190340402893,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.57804679999936,None,space,6.345077100000708,,,,,,,,,,,,18,001,2022_Oct_19_1554,Version4,2021.2.0,240.37190340402893,
red_neutral,0,k,middle,red,0,,,,,0,0,0,4,,,,,,,,,,,115.93269510000027,None,,,,,,,,,,,,117.00465880000047,None,k,1,1.7206771000001027,117.00465880000047,None,,,,,18,001,2022_Oct_19_1554,Version4,2021.2.0,240.37190340402893,
red_neutral,0,k,middle,red,0,,,,,0,1,1,4,,,,,,,,,,,118.74011249999967,None,,,,,,,,,,,,119.82430840000052,None,k,1,0.5092494000000443,119.82430840000052,None,,,,,18,001,2022_Oct_19_1554,Version4,2021.2.0,240.37190340402893,
blue_neutral,0,a,middle,blue,0,,,,,0,2,2,5,,,,,,,,,,,120.35005649999948,None,,,,,,,,,,,,121.43448659999922,None,a,1,0.3712865999987116,121.43448659999922,None,,,,,18,001,2022_Oct_19_1554,Version4,2021.2.0,240.37190340402893,
blue_congruent,1,a,left,blue,-0.6,,,,,0,3,3,0,,,,,,,,,,,121.81822749999992,None,,,,,,,,,,,,122.92354849999901,None,a,1,0.4264457000008406,122.92354849999901,None,,,,,18,001,2022_Oct_19_1554,Version4,2021.2.0,240.37190340402893,
red_incongruent,0,k,left,red,-0.6,,,,,0,4,4,3,,,,,,,,,,,123.36154589999933,None,,,,,,,,,,,,124.38344379999944,None,k,1,0.4227334000006522,124.38344379999944,None,,,,,18,001,2022_Oct_19_1554,Version4,2021.2.0,240.37190340402893,
blue_incongruent,0,a,right,blue,0.6,,,,,0,5,5,2,,,,,,,,,,,124.82198269999935,None,,,,,,,,,,,,125.92673660000037,None,a,1,0.38370469999972556,125.92673660000037,None,,,,,18,001,2022_Oct_19_1554,Version4,2021.2.0,240.37190340402893,
red_incongruent,0,k,left,red,-0.6,,,,,1,0,6,3,,,,,,,,,,,126.32725199999913,None,,,,,,,,,,,,127.48674430000028,None,k,1,0.4241478999992978,127.48674430000028,None,,,,,18,001,2022_Oct_19_1554,Version4,2021.2.0,240.37190340402893,
