images,congruentcy,corrAns,box_pos,box_color,box_x,pract.thisRepN,pract.thisTrialN,pract.thisN,pract.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_instr.keys,key_resp_instr.rt,FixCross.started,FixCross.stopped,Box_p.started,Box_p.stopped,key_resp_P.keys,key_resp_P.corr,key_resp_P.rt,key_resp_P.started,key_resp_P.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,Box.started,Box.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,space,37.69761100000002,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2022_Oct_06_1456,Version4,2021.2.0,239.743187097964,
red_neutral,0,k,middle,red,0,0,0,0,4,,,,,,,,,,,,,,,70.11711829999999,None,71.2473128,None,k,1,1.3026190000000497,71.2473128,None,,,,,,,,,,,,,,,,10,001,2022_Oct_06_1456,Version4,2021.2.0,239.743187097964,
blue_congruent,1,a,left,blue,-0.6,0,1,1,0,,,,,,,,,,,,,,,73.5666947,None,74.5925632,None,a,1,0.429458000000011,74.5925632,None,,,,,,,,,,,,,,,,10,001,2022_Oct_06_1456,Version4,2021.2.0,239.743187097964,
blue_neutral,0,a,middle,blue,0,0,2,2,5,,,,,,,,,,,,,,,76.0400084,None,77.09515569999999,None,a,1,0.5752514000000133,77.09515569999999,None,,,,,,,,,,,,,,,,10,001,2022_Oct_06_1456,Version4,2021.2.0,239.743187097964,
red_congruent,1,k,right,red,0.6,0,3,3,1,,,,,,,,,,,,,,,78.68447290000003,None,79.81886240000003,None,k,1,0.4678708999999799,79.81886240000003,None,,,,,,,,,,,,,,,,10,001,2022_Oct_06_1456,Version4,2021.2.0,239.743187097964,
red_incongruent,0,k,left,red,-0.6,0,4,4,3,,,,,,,,,,,,,,,81.29959970000002,None,82.35914470000003,None,a,0,1.176085100000023,82.35914470000003,None,,,,,,,,,,,,,,,,10,001,2022_Oct_06_1456,Version4,2021.2.0,239.743187097964,
blue_neutral,0,a,middle,blue,0,0,5,5,5,,,,,,,,,,,,,,,84.55321590000003,None,85.75452920000001,None,a,1,0.8691259999999943,85.75452920000001,None,,,,,,,,,,,,,,,,10,001,2022_Oct_06_1456,Version4,2021.2.0,239.743187097964,
red_incongruent,0,k,left,red,-0.6,1,0,6,3,,,,,,,,,,,,,,,87.63993459999998,None,88.71601150000001,None,k,1,0.7961965000000077,88.71601150000001,None,,,,,,,,,,,,,,,,10,001,2022_Oct_06_1456,Version4,2021.2.0,239.743187097964,
red_congruent,1,k,right,red,0.6,1,1,7,1,,,,,,,,,,,,,,,90.53459210000003,None,91.61073560000003,None,k,1,0.6296492000000171,91.61073560000003,None,,,,,,,,,,,,,,,,10,001,2022_Oct_06_1456,Version4,2021.2.0,239.743187097964,
blue_incongruent,0,a,right,blue,0.6,1,2,8,2,,,,,,,,,,,,,,,93.25837900000002,None,94.3050388,None,a,1,0.5120782999999847,94.3050388,None,,,,,,,,,,,,,,,,10,001,2022_Oct_06_1456,Version4,2021.2.0,239.743187097964,
