images,congruentcy,corrAns,box_pos,box_color,box_x,pract.thisRepN,pract.thisTrialN,pract.thisN,pract.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_instr.keys,key_resp_instr.rt,FixCross.started,FixCross.stopped,Box_p.started,Box_p.stopped,key_resp_P.keys,key_resp_P.corr,key_resp_P.rt,key_resp_P.started,key_resp_P.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,Box.started,Box.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,space,39.860652399999935,,,,,,,,,,,,,,,,,,,,,,,,,20,001,2022_Oct_20_1807,Version4,2021.2.0,240.88665560116604,
red_congruent,1,k,right,red,0.6,0,0,0,1,,,,,,,,,,,,,,,58.92105070000002,None,60.035177500000145,None,k,1,1.7022945999999592,60.035177500000145,None,,,,,,,,,,,,,,,,20,001,2022_Oct_20_1807,Version4,2021.2.0,240.88665560116604,
red_incongruent,0,k,left,red,-0.6,0,1,1,3,,,,,,,,,,,,,,,62.759212800000114,None,63.90179580000017,None,k,1,0.5800354999998945,63.90179580000017,None,,,,,,,,,,,,,,,,20,001,2022_Oct_20_1807,Version4,2021.2.0,240.88665560116604,
blue_incongruent,0,a,right,blue,0.6,0,2,2,2,,,,,,,,,,,,,,,65.49931149999998,None,66.61306740000009,None,a,1,0.5091878999999153,66.61306740000009,None,,,,,,,,,,,,,,,,20,001,2022_Oct_20_1807,Version4,2021.2.0,240.88665560116604,
blue_neutral,0,a,middle,blue,0,0,3,3,5,,,,,,,,,,,,,,,68.13993790000018,None,69.24919980000004,None,a,1,0.41735400000015943,69.24919980000004,None,,,,,,,,,,,,,,,,20,001,2022_Oct_20_1807,Version4,2021.2.0,240.88665560116604,
red_congruent,1,k,right,red,0.6,0,4,4,1,,,,,,,,,,,,,,,70.68822180000006,None,71.8810860000001,None,k,1,0.8898787000000539,71.8810860000001,None,,,,,,,,,,,,,,,,20,001,2022_Oct_20_1807,Version4,2021.2.0,240.88665560116604,
red_incongruent,0,k,left,red,-0.6,0,5,5,3,,,,,,,,,,,,,,,73.79585220000013,None,74.91348510000012,None,k,1,1.329990399999815,74.91348510000012,None,,,,,,,,,,,,,,,,20,001,2022_Oct_20_1807,Version4,2021.2.0,240.88665560116604,
blue_congruent,1,a,left,blue,-0.6,1,0,6,0,,,,,,,,,,,,,,,77.25797820000003,None,78.27988990000017,None,a,1,0.5238729000000149,78.27988990000017,None,,,,,,,,,,,,,,,,20,001,2022_Oct_20_1807,Version4,2021.2.0,240.88665560116604,
red_neutral,0,k,middle,red,0,1,1,7,4,,,,,,,,,,,,,,,79.8187203,None,81.04518870000015,None,k,1,0.7912601999998969,81.04518870000015,None,,,,,,,,,,,,,,,,20,001,2022_Oct_20_1807,Version4,2021.2.0,240.88665560116604,
red_neutral,0,k,middle,red,0,1,2,8,4,,,,,,,,,,,,,,,82.8555867,None,84.06087109999999,None,k,1,0.5357078999998066,84.06087109999999,None,,,,,,,,,,,,,,,,20,001,2022_Oct_20_1807,Version4,2021.2.0,240.88665560116604,
blue_neutral,0,a,middle,blue,0,1,3,9,5,,,,,,,,,,,,,,,85.61271190000002,None,86.72598500000004,None,a,1,0.5669304000000466,86.72598500000004,None,,,,,,,,,,,,,,,,20,001,2022_Oct_20_1807,Version4,2021.2.0,240.88665560116604,
blue_neutral,0,a,middle,blue,0,1,4,10,5,,,,,,,,,,,,,,,88.3113042,None,89.41643150000004,None,a,1,0.49288160000014614,89.41643150000004,None,,,,,,,,,,,,,,,,20,001,2022_Oct_20_1807,Version4,2021.2.0,240.88665560116604,
red_neutral,0,k,middle,red,0,1,5,11,4,,,,,,,,,,,,,,,90.92627920000018,None,92.10671820000016,None,k,1,0.6989648999999645,92.10671820000016,None,,,,,,,,,,,,,,,,20,001,2022_Oct_20_1807,Version4,2021.2.0,240.88665560116604,
red_incongruent,0,k,left,red,-0.6,2,0,12,3,,,,,,,,,,,,,,,93.82546610000009,None,94.95971930000019,None,k,1,0.598349399999961,94.95971930000019,None,,,,,,,,,,,,,,,,20,001,2022_Oct_20_1807,Version4,2021.2.0,240.88665560116604,
blue_neutral,0,a,middle,blue,0,2,1,13,5,,,,,,,,,,,,,,,96.57839039999999,None,97.74184179999997,None,a,1,0.5285973000000013,97.74184179999997,None,,,,,,,,,,,,,,,,20,001,2022_Oct_20_1807,Version4,2021.2.0,240.88665560116604,
blue_congruent,1,a,left,blue,-0.6,2,2,14,0,,,,,,,,,,,,,,,99.28551850000008,None,100.45304310000006,None,a,1,1.0178499000001011,100.45304310000006,None,,,,,,,,,,,,,,,,20,001,2022_Oct_20_1807,Version4,2021.2.0,240.88665560116604,
red_congruent,1,k,right,red,0.6,2,3,15,1,,,,,,,,,,,,,,,102.48855049999997,None,103.56051939999998,None,k,1,0.8787852000000385,103.56051939999998,None,,,,,,,,,,,,,,,,20,001,2022_Oct_20_1807,Version4,2021.2.0,240.88665560116604,
red_neutral,0,k,middle,red,0,2,4,16,4,,,,,,,,,,,,,,,105.45446420000007,None,106.70168469999999,None,k,1,0.4179612000000361,106.70168469999999,None,,,,,,,,,,,,,,,,20,001,2022_Oct_20_1807,Version4,2021.2.0,240.88665560116604,
blue_incongruent,0,a,right,blue,0.6,2,5,17,2,,,,,,,,,,,,,,,108.14071790000003,None,109.24572039999998,None,a,1,0.4586461999999756,109.24572039999998,None,,,,,,,,,,,,,,,,20,001,2022_Oct_20_1807,Version4,2021.2.0,240.88665560116604,
blue_congruent,1,a,left,blue,-0.6,3,0,18,0,,,,,,,,,,,,,,,110.7264381,None,111.79850099999999,None,a,1,0.4018390000001091,111.79850099999999,None,,,,,,,,,,,,,,,,20,001,2022_Oct_20_1807,Version4,2021.2.0,240.88665560116604,
blue_congruent,1,a,left,blue,-0.6,3,1,19,0,,,,,,,,,,,,,,,113.22075519999999,None,114.35113320000005,None,a,1,0.3935340000000451,114.35113320000005,None,,,,,,,,,,,,,,,,20,001,2022_Oct_20_1807,Version4,2021.2.0,240.88665560116604,
