images,congruentcy,corrAns,box_pos,box_color,box_x,pract.thisRepN,pract.thisTrialN,pract.thisN,pract.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_instr.keys,key_resp_instr.rt,FixCross.started,FixCross.stopped,Box_p.started,Box_p.stopped,key_resp_P.keys,key_resp_P.corr,key_resp_P.rt,key_resp_P.started,key_resp_P.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,Box.started,Box.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,space,15.572365700000319,,,,,,,,,,,,,,,,,,,,,,,,,9,001,2022_Oct_03_1404,Version4,2021.2.0,239.55251590131718,
red_congruent,1,k,right,red,0.6,0,0,0,1,,,,,,,,,,,,,,,27.432149799999934,None,28.566524299999855,None,k,1,0.7303253000000041,28.566524299999855,None,,,,,,,,,,,,,,,,9,001,2022_Oct_03_1404,Version4,2021.2.0,239.55251590131718,
red_neutral,0,k,middle,red,0,0,1,1,4,,,,,,,,,,,,,,,30.314145100000133,None,31.402510899999925,None,k,1,0.686719599999833,31.402510899999925,None,,,,,,,,,,,,,,,,9,001,2022_Oct_03_1404,Version4,2021.2.0,239.55251590131718,
blue_incongruent,0,a,right,blue,0.6,0,2,2,2,,,,,,,,,,,,,,,33.10857459999988,None,34.176286999999775,None,a,1,0.7853345000003173,34.176286999999775,None,,,,,,,,,,,,,,,,9,001,2022_Oct_03_1404,Version4,2021.2.0,239.55251590131718,
blue_neutral,0,a,middle,blue,0,0,3,3,5,,,,,,,,,,,,,,,35.98236689999976,None,37.054626799999824,None,a,1,0.5313552000002346,37.054626799999824,None,,,,,,,,,,,,,,,,9,001,2022_Oct_03_1404,Version4,2021.2.0,239.55251590131718,
red_neutral,0,k,middle,red,0,0,4,4,4,,,,,,,,,,,,,,,38.610451499999726,None,39.70753370000011,None,k,1,0.4228026000000682,39.70753370000011,None,,,,,,,,,,,,,,,,9,001,2022_Oct_03_1404,Version4,2021.2.0,239.55251590131718,
blue_neutral,0,a,middle,blue,0,0,5,5,5,,,,,,,,,,,,,,,41.154877899999974,None,42.23933729999999,None,a,1,0.4835241999999198,42.23933729999999,None,,,,,,,,,,,,,,,,9,001,2022_Oct_03_1404,Version4,2021.2.0,239.55251590131718,
blue_congruent,1,a,left,blue,-0.6,1,0,6,0,,,,,,,,,,,,,,,43.74512189999996,None,44.766693399999895,None,a,1,0.6043989999998303,44.766693399999895,None,,,,,,,,,,,,,,,,9,001,2022_Oct_03_1404,Version4,2021.2.0,239.55251590131718,
red_incongruent,0,k,left,red,-0.6,1,1,7,3,,,,,,,,,,,,,,,46.38951319999978,None,47.51124540000001,None,k,1,0.7241982999998982,47.51124540000001,None,,,,,,,,,,,,,,,,9,001,2022_Oct_03_1404,Version4,2021.2.0,239.55251590131718,
red_congruent,1,k,right,red,0.6,1,2,8,1,,,,,,,,,,,,,,,49.250612400000136,None,50.39774269999998,None,k,1,0.8700982999998814,50.39774269999998,None,,,,,,,,,,,,,,,,9,001,2022_Oct_03_1404,Version4,2021.2.0,239.55251590131718,
red_neutral,0,k,middle,red,0,1,3,9,4,,,,,,,,,,,,,,,52.28326629999992,None,53.45518570000013,None,k,1,0.445012300000144,53.45518570000013,None,,,,,,,,,,,,,,,,9,001,2022_Oct_03_1404,Version4,2021.2.0,239.55251590131718,
red_incongruent,0,k,left,red,-0.6,1,4,10,3,,,,,,,,,,,,,,,54.91529330000003,None,56.01235319999978,None,k,1,0.7205395000000863,56.01235319999978,None,,,,,,,,,,,,,,,,9,001,2022_Oct_03_1404,Version4,2021.2.0,239.55251590131718,
red_incongruent,0,k,left,red,-0.6,1,5,11,3,,,,,,,,,,,,,,,57.755765699999756,None,58.94422110000005,None,k,1,0.41277720000016416,58.94422110000005,None,,,,,,,,,,,,,,,,9,001,2022_Oct_03_1404,Version4,2021.2.0,239.55251590131718,
blue_incongruent,0,a,right,blue,0.6,2,0,12,2,,,,,,,,,,,,,,,60.37528109999994,None,61.48073649999969,None,a,1,0.36453849999998056,61.48073649999969,None,,,,,,,,,,,,,,,,9,001,2022_Oct_03_1404,Version4,2021.2.0,239.55251590131718,
red_incongruent,0,k,left,red,-0.6,2,1,13,3,,,,,,,,,,,,,,,62.86918719999994,None,63.96202970000013,None,k,1,0.4595696000001226,63.96202970000013,None,,,,,,,,,,,,,,,,9,001,2022_Oct_03_1404,Version4,2021.2.0,239.55251590131718,
