images,congruentcy,corrAns,box_pos,box_color,box_x,pract.thisRepN,pract.thisTrialN,pract.thisN,pract.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_instr.keys,key_resp_instr.rt,FixCross.started,FixCross.stopped,Box_p.started,Box_p.stopped,key_resp_P.keys,key_resp_P.corr,key_resp_P.rt,key_resp_P.started,key_resp_P.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,Box.started,Box.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,space,5.267769199999748,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2022_Aug_07_1739,Version4,2021.2.0,239.6277143848741,
red_neutral,0,k,middle,red,0,0,0,0,4,,,,,,,,,,,,,,,17.161297399999967,None,18.29553340000075,None,k,1,0.596670300000369,18.29553340000075,None,,,,,,,,,,,,,,,,5,001,2022_Aug_07_1739,Version4,2021.2.0,239.6277143848741,
blue_incongruent,0,a,right,blue,0.6,0,1,1,2,,,,,,,,,,,,,,,19.905508600000758,None,21.127629100000377,None,a,1,0.41290810000009515,21.127629100000377,None,,,,,,,,,,,,,,,,5,001,2022_Aug_07_1739,Version4,2021.2.0,239.6277143848741,
red_congruent,1,k,right,red,0.6,0,2,2,1,,,,,,,,,,,,,,,22.55830590000005,None,23.767947600000298,None,k,1,0.3649417999995421,23.767947600000298,None,,,,,,,,,,,,,,,,5,001,2022_Aug_07_1739,Version4,2021.2.0,239.6277143848741,
blue_neutral,0,a,middle,blue,0,0,3,3,5,,,,,,,,,,,,,,,25.15260230000058,None,26.27481070000067,None,a,1,0.38656709999941086,26.27481070000067,None,,,,,,,,,,,,,,,,5,001,2022_Aug_07_1739,Version4,2021.2.0,239.6277143848741,
blue_neutral,0,a,middle,blue,0,0,4,4,5,,,,,,,,,,,,,,,27.680441500000597,None,28.802428800000598,None,a,1,0.48333760000059556,28.802428800000598,None,,,,,,,,,,,,,,,,5,001,2022_Aug_07_1739,Version4,2021.2.0,239.6277143848741,
blue_congruent,1,a,left,blue,-0.6,0,5,5,0,,,,,,,,,,,,,,,30.308335100000477,None,31.35094509999999,None,a,1,0.5191290000002482,31.35094509999999,None,,,,,,,,,,,,,,,,5,001,2022_Aug_07_1739,Version4,2021.2.0,239.6277143848741,
red_neutral,0,k,middle,red,0,1,0,6,4,,,,,,,,,,,,,,,32.88997930000005,None,33.98725300000024,None,k,1,0.43531700000039564,33.98725300000024,None,,,,,,,,,,,,,,,,5,001,2022_Aug_07_1739,Version4,2021.2.0,239.6277143848741,
red_congruent,1,k,right,red,0.6,1,1,7,1,,,,,,,,,,,,,,,35.43867070000033,None,36.53977410000061,None,k,1,0.37880719999975554,36.53977410000061,None,,,,,,,,,,,,,,,,5,001,2022_Aug_07_1739,Version4,2021.2.0,239.6277143848741,
blue_neutral,0,a,middle,blue,0,1,2,8,5,,,,,,,,,,,,,,,37.93707540000014,None,38.992215600000236,None,a,1,0.5027290999996694,38.992215600000236,None,,,,,,,,,,,,,,,,5,001,2022_Aug_07_1739,Version4,2021.2.0,239.6277143848741,
blue_congruent,1,a,left,blue,-0.6,1,3,9,0,,,,,,,,,,,,,,,40.51480510000056,None,41.57010030000038,None,a,1,0.3493114000002606,41.57010030000038,None,,,,,,,,,,,,,,,,5,001,2022_Aug_07_1739,Version4,2021.2.0,239.6277143848741,
red_incongruent,0,k,left,red,-0.6,1,4,10,3,,,,,,,,,,,,,,,42.942248700000164,None,43.99765790000038,None,k,1,0.35410140000021784,43.99765790000038,None,,,,,,,,,,,,,,,,5,001,2022_Aug_07_1739,Version4,2021.2.0,239.6277143848741,
blue_incongruent,0,a,right,blue,0.6,1,5,11,2,,,,,,,,,,,,,,,45.36562959999992,None,46.40859880000062,None,a,1,0.34333040000001347,46.40859880000062,None,,,,,,,,,,,,,,,,5,001,2022_Aug_07_1739,Version4,2021.2.0,239.6277143848741,
red_incongruent,0,k,left,red,-0.6,2,0,12,3,,,,,,,,,,,,,,,47.768187300000136,None,48.919536000000335,None,k,1,0.5847243999996863,48.919536000000335,None,,,,,,,,,,,,,,,,5,001,2022_Aug_07_1739,Version4,2021.2.0,239.6277143848741,
blue_neutral,0,a,middle,blue,0,2,1,13,5,,,,,,,,,,,,,,,50.5212289000001,None,51.57219870000063,None,a,1,0.41263340000023163,51.57219870000063,None,,,,,,,,,,,,,,,,5,001,2022_Aug_07_1739,Version4,2021.2.0,239.6277143848741,
blue_congruent,1,a,left,blue,-0.6,2,2,14,0,,,,,,,,,,,,,,,53.00727000000006,None,54.10835700000007,None,a,1,0.3486010999995415,54.10835700000007,None,,,,,,,,,,,,,,,,5,001,2022_Aug_07_1739,Version4,2021.2.0,239.6277143848741,
blue_congruent,1,a,left,blue,-0.6,2,3,15,0,,,,,,,,,,,,,,,55.480687000000216,None,56.67357990000073,None,a,1,0.31185350000032486,56.67357990000073,None,,,,,,,,,,,,,,,,5,001,2022_Aug_07_1739,Version4,2021.2.0,239.6277143848741,
blue_incongruent,0,a,right,blue,0.6,2,4,16,2,,,,,,,,,,,,,,,57.99984550000045,None,59.18045780000011,None,a,1,0.3811599999999089,59.18045780000011,None,,,,,,,,,,,,,,,,5,001,2022_Aug_07_1739,Version4,2021.2.0,239.6277143848741,
red_incongruent,0,k,left,red,-0.6,2,5,17,3,,,,,,,,,,,,,,,60.586045200000626,None,61.733099900000525,None,k,1,0.380861300000106,61.733099900000525,None,,,,,,,,,,,,,,,,5,001,2022_Aug_07_1739,Version4,2021.2.0,239.6277143848741,
red_congruent,1,k,right,red,0.6,3,0,18,1,,,,,,,,,,,,,,,63.130416900000455,None,64.2316993000004,None,k,1,0.33858890000010433,64.2316993000004,None,,,,,,,,,,,,,,,,5,001,2022_Aug_07_1739,Version4,2021.2.0,239.6277143848741,
red_incongruent,0,k,left,red,-0.6,3,1,19,3,,,,,,,,,,,,,,,65.58301120000033,None,66.7509215,None,k,1,0.4038654999994833,66.7509215,None,,,,,,,,,,,,,,,,5,001,2022_Aug_07_1739,Version4,2021.2.0,239.6277143848741,
blue_incongruent,0,a,right,blue,0.6,3,2,20,2,,,,,,,,,,,,,,,68.16906070000005,None,69.43277040000066,None,a,1,0.3061896000008346,69.43277040000066,None,,,,,,,,,,,,,,,,5,001,2022_Aug_07_1739,Version4,2021.2.0,239.6277143848741,
red_neutral,0,k,middle,red,0,3,3,21,4,,,,,,,,,,,,,,,70.75516220000009,None,71.82293620000019,None,k,1,0.6044511000000057,71.82293620000019,None,,,,,,,,,,,,,,,,5,001,2022_Aug_07_1739,Version4,2021.2.0,239.6277143848741,
red_neutral,0,k,middle,red,0,3,4,22,4,,,,,,,,,,,,,,,73.44118290000006,None,74.49646500000017,None,k,1,0.6112335999996503,74.49646500000017,None,,,,,,,,,,,,,,,,5,001,2022_Aug_07_1739,Version4,2021.2.0,239.6277143848741,
red_congruent,1,k,right,red,0.6,3,5,23,1,,,,,,,,,,,,,,,76.12333540000054,None,77.24115970000003,None,k,1,0.49104329999954643,77.24115970000003,None,,,,,,,,,,,,,,,,5,001,2022_Aug_07_1739,Version4,2021.2.0,239.6277143848741,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.76352820000011,None,space,1.711418799999592,,,,,,,,,,,,5,001,2022_Aug_07_1739,Version4,2021.2.0,239.6277143848741,
