images,congruentcy,corrAns,box_pos,box_color,box_x,pract.thisRepN,pract.thisTrialN,pract.thisN,pract.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_instr.keys,key_resp_instr.rt,FixCross.started,FixCross.stopped,Box_p.started,Box_p.stopped,key_resp_P.keys,key_resp_P.corr,key_resp_P.rt,key_resp_P.started,key_resp_P.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,Box.started,Box.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,space,35.73671289999038,,,,,,,,,,,,,,,,,,,,,,,,,14,001,2022_Oct_13_1104,Version4,2021.2.0,239.2230035606401,
blue_neutral,0,a,middle,blue,0,0,0,0,5,,,,,,,,,,,,,,,48.02615540000261,None,49.0729541000037,None,a,1,1.1942563999909908,49.0729541000037,None,,,,,,,,,,,,,,,,14,001,2022_Oct_13_1104,Version4,2021.2.0,239.2230035606401,
red_neutral,0,k,middle,red,0,0,1,1,4,,,,,,,,,,,,,,,51.28353970000171,None,52.3552747000067,None,k,1,0.4402434999938123,52.3552747000067,None,,,,,,,,,,,,,,,,14,001,2022_Oct_13_1104,Version4,2021.2.0,239.2230035606401,
blue_incongruent,0,a,right,blue,0.6,0,2,2,2,,,,,,,,,,,,,,,53.819307800004026,None,54.90796730000875,None,a,1,1.1200036999944132,54.90796730000875,None,,,,,,,,,,,,,,,,14,001,2022_Oct_13_1104,Version4,2021.2.0,239.2230035606401,
blue_incongruent,0,a,right,blue,0.6,0,3,3,2,,,,,,,,,,,,,,,57.04791500000283,None,58.19070720000309,None,a,1,0.6776291999849491,58.19070720000309,None,,,,,,,,,,,,,,,,14,001,2022_Oct_13_1104,Version4,2021.2.0,239.2230035606401,
red_neutral,0,k,middle,red,0,0,4,4,4,,,,,,,,,,,,,,,59.884243300009985,None,60.96022790001007,None,k,1,0.5086166999826673,60.96022790001007,None,,,,,,,,,,,,,,,,14,001,2022_Oct_13_1104,Version4,2021.2.0,239.2230035606401,
red_incongruent,0,k,left,red,-0.6,0,5,5,3,,,,,,,,,,,,,,,62.49100380000891,None,63.738259400008246,None,k,1,0.7228253999783192,63.738259400008246,None,,,,,,,,,,,,,,,,14,001,2022_Oct_13_1104,Version4,2021.2.0,239.2230035606401,
red_congruent,1,k,right,red,0.6,1,0,6,1,,,,,,,,,,,,,,,65.48182210000232,None,66.5663086999848,None,k,1,0.6391696000064258,66.5663086999848,None,,,,,,,,,,,,,,,,14,001,2022_Oct_13_1104,Version4,2021.2.0,239.2230035606401,
red_incongruent,0,k,left,red,-0.6,1,1,7,3,,,,,,,,,,,,,,,68.2180847999989,None,69.28998760000104,None,k,1,0.6359987999894656,69.28998760000104,None,,,,,,,,,,,,,,,,14,001,2022_Oct_13_1104,Version4,2021.2.0,239.2230035606401,
red_congruent,1,k,right,red,0.6,1,2,8,1,,,,,,,,,,,,,,,70.94163009998738,None,72.05114070000127,None,k,1,0.611080700007733,72.05114070000127,None,,,,,,,,,,,,,,,,14,001,2022_Oct_13_1104,Version4,2021.2.0,239.2230035606401,
