images,congruentcy,corrAns,box_pos,box_color,box_x,pract.thisRepN,pract.thisTrialN,pract.thisN,pract.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_instr.keys,key_resp_instr.rt,FixCross.started,FixCross.stopped,Box_p.started,Box_p.stopped,key_resp_P.keys,key_resp_P.corr,key_resp_P.rt,key_resp_P.started,key_resp_P.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,Box.started,Box.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,space,9.18404819999978,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2022_Aug_05_1856,Version4,2021.2.0,239.68744756545786,
red_neutral,0,k,middle,red,0,0,0,0,4,,,,,,,,,,,,,,,18.871099899999535,None,20.09740299999976,None,k,1,0.9043204999998125,20.09740299999976,None,,,,,,,,,,,,,,,,3,001,2022_Aug_05_1856,Version4,2021.2.0,239.68744756545786,
blue_congruent,1,a,left,blue,-0.6,0,1,1,0,,,,,,,,,,,,,,,22.01608479999959,None,23.033906199999365,None,a,1,0.6963176999997813,23.033906199999365,None,,,,,,,,,,,,,,,,3,001,2022_Aug_05_1856,Version4,2021.2.0,239.68744756545786,
red_congruent,1,k,right,red,0.6,0,2,2,1,,,,,,,,,,,,,,,24.748412899999494,None,25.849475099999836,None,k,1,0.5689786000002641,25.849475099999836,None,,,,,,,,,,,,,,,,3,001,2022_Aug_05_1856,Version4,2021.2.0,239.68744756545786,
red_neutral,0,k,middle,red,0,0,3,3,4,,,,,,,,,,,,,,,27.438623499999267,None,28.472918899999968,None,k,1,0.6821953999997277,28.472918899999968,None,,,,,,,,,,,,,,,,3,001,2022_Aug_05_1856,Version4,2021.2.0,239.68744756545786,
blue_incongruent,0,a,right,blue,0.6,0,4,4,2,,,,,,,,,,,,,,,30.174861999999848,None,31.334401099999923,None,a,1,0.6291103000003204,31.334401099999923,None,,,,,,,,,,,,,,,,3,001,2022_Aug_05_1856,Version4,2021.2.0,239.68744756545786,
red_neutral,0,k,middle,red,0,0,5,5,4,,,,,,,,,,,,,,,32.98204599999917,None,34.104018499999256,None,k,1,0.5555098000004364,34.104018499999256,None,,,,,,,,,,,,,,,,3,001,2022_Aug_05_1856,Version4,2021.2.0,239.68744756545786,
red_incongruent,0,k,left,red,-0.6,1,0,6,3,,,,,,,,,,,,,,,35.676497099999324,None,36.89849959999992,None,k,1,0.5857624999998734,36.89849959999992,None,,,,,,,,,,,,,,,,3,001,2022_Aug_05_1856,Version4,2021.2.0,239.68744756545786,
blue_congruent,1,a,left,blue,-0.6,1,1,7,0,,,,,,,,,,,,,,,38.500425399999585,None,39.65569830000004,None,a,1,0.8927615000002334,39.65569830000004,None,,,,,,,,,,,,,,,,3,001,2022_Aug_05_1856,Version4,2021.2.0,239.68744756545786,
blue_neutral,0,a,middle,blue,0,1,2,8,5,,,,,,,,,,,,,,,41.57024099999944,None,42.642091899999286,None,a,1,1.538897200000065,42.642091899999286,None,,,,,,,,,,,,,,,,3,001,2022_Aug_05_1856,Version4,2021.2.0,239.68744756545786,
red_congruent,1,k,right,red,0.6,1,3,9,1,,,,,,,,,,,,,,,45.20331019999958,None,46.23761719999948,None,k,1,0.5676862999998775,46.23761719999948,None,,,,,,,,,,,,,,,,3,001,2022_Aug_05_1856,Version4,2021.2.0,239.68744756545786,
blue_incongruent,0,a,right,blue,0.6,1,4,10,2,,,,,,,,,,,,,,,47.82266759999948,None,48.90303679999943,None,a,1,0.646472200000062,48.90303679999943,None,,,,,,,,,,,,,,,,3,001,2022_Aug_05_1856,Version4,2021.2.0,239.68744756545786,
blue_incongruent,0,a,right,blue,0.6,1,5,11,2,,,,,,,,,,,,,,,50.56316599999991,None,51.66425099999924,None,a,1,0.5577734999997119,51.66425099999924,None,,,,,,,,,,,,,,,,3,001,2022_Aug_05_1856,Version4,2021.2.0,239.68744756545786,
blue_congruent,1,a,left,blue,-0.6,2,0,12,0,,,,,,,,,,,,,,,53.24077419999958,None,54.29620569999952,None,a,1,0.5900231999994503,54.29620569999952,None,,,,,,,,,,,,,,,,3,001,2022_Aug_05_1856,Version4,2021.2.0,239.68744756545786,
blue_neutral,0,a,middle,blue,0,2,1,13,5,,,,,,,,,,,,,,,55.90625959999943,None,57.04063759999917,None,a,1,0.5179784000001746,57.04063759999917,None,,,,,,,,,,,,,,,,3,001,2022_Aug_05_1856,Version4,2021.2.0,239.68744756545786,
red_neutral,0,k,middle,red,0,2,2,14,4,,,,,,,,,,,,,,,58.57997019999948,None,59.61423019999984,None,k,1,0.6487002000003486,59.61423019999984,None,,,,,,,,,,,,,,,,3,001,2022_Aug_05_1856,Version4,2021.2.0,239.68744756545786,
red_congruent,1,k,right,red,0.6,2,3,15,1,,,,,,,,,,,,,,,61.2867813999992,None,62.488198199999715,None,k,1,0.4952693999994153,62.488198199999715,None,,,,,,,,,,,,,,,,3,001,2022_Aug_05_1856,Version4,2021.2.0,239.68744756545786,
blue_neutral,0,a,middle,blue,0,2,4,16,5,,,,,,,,,,,,,,,63.998009199999615,None,65.12443609999991,None,a,1,0.7552652000003945,65.12443609999991,None,,,,,,,,,,,,,,,,3,001,2022_Aug_05_1856,Version4,2021.2.0,239.68744756545786,
red_incongruent,0,k,left,red,-0.6,2,5,17,3,,,,,,,,,,,,,,,66.89275669999915,None,68.01906389999931,None,a,0,0.40514299999995274,68.01906389999931,None,,,,,,,,,,,,,,,,3,001,2022_Aug_05_1856,Version4,2021.2.0,239.68744756545786,
red_incongruent,0,k,left,red,-0.6,3,0,18,3,,,,,,,,,,,,,,,69.44575480000003,None,70.56329889999961,None,k,1,0.6210927999991327,70.56329889999961,None,,,,,,,,,,,,,,,,3,001,2022_Aug_05_1856,Version4,2021.2.0,239.68744756545786,
