images,congruentcy,corrAns,box_pos,box_color,box_x,pract.thisRepN,pract.thisTrialN,pract.thisN,pract.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_instr.keys,key_resp_instr.rt,FixCross.started,FixCross.stopped,Box_p.started,Box_p.stopped,key_resp_P.keys,key_resp_P.corr,key_resp_P.rt,key_resp_P.started,key_resp_P.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,Box.started,Box.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,space,29.311623500005226,,,,,,,,,,,,,,,,,,,,,,,,,24,001,2022_Oct_23_1743,Version4,2021.2.0,239.67940484232034,
blue_congruent,1,a,left,blue,-0.6,0,0,0,0,,,,,,,,,,,,,,,61.49746340001002,None,62.57329450000543,None,k,0,4.426937600001111,62.57329450000543,None,,,,,,,,,,,,,,,,24,001,2022_Oct_23_1743,Version4,2021.2.0,239.67940484232034,
blue_incongruent,0,a,right,blue,0.6,0,1,1,2,,,,,,,,,,,,,,,68.02086820000841,None,69.13045560001046,None,k,0,4.5986972999962745,69.13045560001046,None,,,,,,,,,,,,,,,,24,001,2022_Oct_23_1743,Version4,2021.2.0,239.67940484232034,
blue_neutral,0,a,middle,blue,0,0,2,2,5,,,,,,,,,,,,,,,74.74452649999876,None,75.91674390000117,None,a,1,2.5250597999984166,75.91674390000117,None,,,,,,,,,,,,,,,,24,001,2022_Oct_23_1743,Version4,2021.2.0,239.67940484232034,
red_incongruent,0,k,left,red,-0.6,0,3,3,3,,,,,,,,,,,,,,,79.45374209999864,None,80.63001570000779,None,k,1,0.6281564999953844,80.63001570000779,None,,,,,,,,,,,,,,,,24,001,2022_Oct_23_1743,Version4,2021.2.0,239.67940484232034,
red_neutral,0,k,middle,red,0,0,4,4,4,,,,,,,,,,,,,,,82.273623400004,None,83.40374340000562,None,a,0,1.2709229000029154,83.40374340000562,None,,,,,,,,,,,,,,,,24,001,2022_Oct_23_1743,Version4,2021.2.0,239.67940484232034,
red_neutral,0,k,middle,red,0,0,5,5,4,,,,,,,,,,,,,,,85.68949620000785,None,86.72822210000595,None,k,1,0.8668344000034267,86.72822210000595,None,,,,,,,,,,,,,,,,24,001,2022_Oct_23_1743,Version4,2021.2.0,239.67940484232034,
blue_congruent,1,a,left,blue,-0.6,1,0,6,0,,,,,,,,,,,,,,,88.60925629999838,None,89.73142619999999,None,a,1,0.4959621000016341,89.73142619999999,None,,,,,,,,,,,,,,,,24,001,2022_Oct_23_1743,Version4,2021.2.0,239.67940484232034,
red_incongruent,0,k,left,red,-0.6,1,1,7,3,,,,,,,,,,,,,,,91.245522600002,None,92.27997240000695,None,a,0,0.6838451999938115,92.27997240000695,None,,,,,,,,,,,,,,,,24,001,2022_Oct_23_1743,Version4,2021.2.0,239.67940484232034,
blue_incongruent,0,a,right,blue,0.6,1,2,8,2,,,,,,,,,,,,,,,93.9818263000052,None,95.1329856000084,None,a,1,1.8315619999921182,95.1329856000084,None,,,,,,,,,,,,,,,,24,001,2022_Oct_23_1743,Version4,2021.2.0,239.67940484232034,
red_incongruent,0,k,left,red,-0.6,1,3,9,3,,,,,,,,,,,,,,,97.98184190000757,None,99.10811560000002,None,k,1,0.864627200004179,99.10811560000002,None,,,,,,,,,,,,,,,,24,001,2022_Oct_23_1743,Version4,2021.2.0,239.67940484232034,
red_congruent,1,k,right,red,0.6,1,4,10,1,,,,,,,,,,,,,,,100.98504090000642,None,102.12359560000186,None,k,1,1.9057927000103518,102.12359560000186,None,,,,,,,,,,,,,,,,24,001,2022_Oct_23_1743,Version4,2021.2.0,239.67940484232034,
red_neutral,0,k,middle,red,0,1,5,11,4,,,,,,,,,,,,,,,105.05171160001191,None,106.20715950000158,None,k,1,1.5986700999928871,106.20715950000158,None,,,,,,,,,,,,,,,,24,001,2022_Oct_23_1743,Version4,2021.2.0,239.67940484232034,
blue_incongruent,0,a,right,blue,0.6,2,0,12,2,,,,,,,,,,,,,,,108.81840689999808,None,109.87778680000338,None,a,1,1.2164749000075972,109.87778680000338,None,,,,,,,,,,,,,,,,24,001,2022_Oct_23_1743,Version4,2021.2.0,239.67940484232034,
blue_neutral,0,a,middle,blue,0,2,1,13,5,,,,,,,,,,,,,,,112.11334500000521,None,113.26875460000883,None,a,1,1.546029199991608,113.26875460000883,None,,,,,,,,,,,,,,,,24,001,2022_Oct_23_1743,Version4,2021.2.0,239.67940484232034,
blue_neutral,0,a,middle,blue,0,2,2,14,5,,,,,,,,,,,,,,,115.82993830001215,None,116.87275720000616,None,a,1,0.7265715999965323,116.87275720000616,None,,,,,,,,,,,,,,,,24,001,2022_Oct_23_1743,Version4,2021.2.0,239.67940484232034,
red_incongruent,0,k,left,red,-0.6,2,3,15,3,,,,,,,,,,,,,,,118.62039530000766,None,119.72160140000051,None,k,1,1.1263761000009254,119.72160140000051,None,,,,,,,,,,,,,,,,24,001,2022_Oct_23_1743,Version4,2021.2.0,239.67940484232034,
blue_neutral,0,a,middle,blue,0,2,4,16,5,,,,,,,,,,,,,,,121.8653733000101,None,123.01675540000724,None,a,1,0.943292099997052,123.01675540000724,None,,,,,,,,,,,,,,,,24,001,2022_Oct_23_1743,Version4,2021.2.0,239.67940484232034,
red_congruent,1,k,right,red,0.6,2,5,17,1,,,,,,,,,,,,,,,124.9772352,None,126.04065890000493,None,k,1,0.9597958999947878,126.04065890000493,None,,,,,,,,,,,,,,,,24,001,2022_Oct_23_1743,Version4,2021.2.0,239.67940484232034,
red_congruent,1,k,right,red,0.6,3,0,18,1,,,,,,,,,,,,,,,128.0179330000101,None,129.13176119999844,None,k,1,0.4930519999907119,129.13176119999844,None,,,,,,,,,,,,,,,,24,001,2022_Oct_23_1743,Version4,2021.2.0,239.67940484232034,
blue_congruent,1,a,left,blue,-0.6,3,1,19,0,,,,,,,,,,,,,,,130.64585260000604,None,131.7551916000084,None,a,1,0.7740263000014238,131.7551916000084,None,,,,,,,,,,,,,,,,24,001,2022_Oct_23_1743,Version4,2021.2.0,239.67940484232034,
red_congruent,1,k,right,red,0.6,3,2,20,1,,,,,,,,,,,,,,,133.5487664000102,None,134.68753860000288,None,k,1,0.9621130000014091,134.68753860000288,None,,,,,,,,,,,,,,,,24,001,2022_Oct_23_1743,Version4,2021.2.0,239.67940484232034,
red_neutral,0,k,middle,red,0,3,3,21,4,,,,,,,,,,,,,,,136.66856600000756,None,137.80729820000124,None,k,1,0.6586956000101054,137.80729820000124,None,,,,,,,,,,,,,,,,24,001,2022_Oct_23_1743,Version4,2021.2.0,239.67940484232034,
blue_congruent,1,a,left,blue,-0.6,3,4,22,0,,,,,,,,,,,,,,,139.48418189999938,None,140.5977630999987,None,a,1,0.5406280000024708,140.5977630999987,None,,,,,,,,,,,,,,,,24,001,2022_Oct_23_1743,Version4,2021.2.0,239.67940484232034,
blue_incongruent,0,a,right,blue,0.6,3,5,23,2,,,,,,,,,,,,,,,142.15776919999917,None,143.21736970001075,None,a,1,0.5135232999891741,143.21736970001075,None,,,,,,,,,,,,,,,,24,001,2022_Oct_23_1743,Version4,2021.2.0,239.67940484232034,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.77304430000368,None,space,5.085719800001243,,,,,,,,,,,,24,001,2022_Oct_23_1743,Version4,2021.2.0,239.67940484232034,
red_neutral,0,k,middle,red,0,,,,,0,0,0,4,,,,,,,,,,,151.85159130000102,None,,,,,,,,,,,,153.06947110001056,None,a,0,2.7348855000018375,153.06947110001056,None,,,,,24,001,2022_Oct_23_1743,Version4,2021.2.0,239.67940484232034,
