"","sub","item","cond","boundaryN","wordN","word","trial_type"
"104",1,88,"ben",5,9,"?ok","exp_2"
"105",1,88,"ben",5,10,"e?lendik.","exp_2"
"106",1,115,"identical",6,1,"Ku?um","exp_2"
"107",1,115,"identical",6,2,"kafeste","exp_2"
"108",1,115,"identical",6,3,"olmas?na","exp_2"
"109",1,115,"identical",6,4,"ra?men","exp_2"
"110",1,115,"identical",6,5,"?ok","exp_2"
"111",1,115,"identical",6,6,"t?y","exp_2"
"112",1,115,"identical",6,7,"d?k?yor","exp_2"
"113",1,115,"identical",6,8,"diye","exp_2"
"114",1,115,"identical",6,9,"hemen","exp_2"
"115",1,115,"identical",6,10,"marketten","exp_2"
"116",1,115,"identical",6,11,"t?l","exp_2"
"117",1,115,"identical",6,12,"ald?k.","exp_2"
"118",1,126,"ben",5,1,"Balkona","exp_2"
"119",1,126,"ben",5,2,"ast???m","exp_2"
"120",1,126,"ben",5,3,"?ama??rlar","exp_2"
"121",1,126,"ben",5,4,"so?uktan","exp_2"
"122",1,126,"ben",5,5,"buz","exp_2"
"123",1,126,"ben",5,6,"gibi","exp_2"
"124",1,126,"ben",5,7,"olmu?","exp_2"
"125",1,126,"ben",5,8,"o","exp_2"
"126",1,126,"ben",5,9,"sebepten","exp_2"
"127",1,126,"ben",5,10,"art?k","exp_2"
"128",1,126,"ben",5,11,"d??ar?ya","exp_2"
"129",1,126,"ben",5,12,"asm?yorum.","exp_2"
"130",1,86,"ben",3,1,"Bah?edeki","exp_2"
"131",1,86,"ben",3,2,"a?a?lardan","exp_2"
"132",1,86,"ben",3,3,"dut","exp_2"
"133",1,86,"ben",3,4,"toplam??","exp_2"
"134",1,86,"ben",3,5,"ama","exp_2"
"135",1,86,"ben",3,6,"toplarken","exp_2"
"136",1,86,"ben",3,7,"merdivenden","exp_2"
"137",1,86,"ben",3,8,"d??m??","exp_2"
"138",1,86,"ben",3,9,"ve","exp_2"
"139",1,86,"ben",3,10,"hastanelik","exp_2"
"140",1,86,"ben",3,11,"olmu?.","exp_2"
"141",1,110,"ben",8,1,"Bir","exp_2"
"142",1,110,"ben",8,2,"hafta","exp_2"
"143",1,110,"ben",8,3,"sonra","exp_2"
"144",1,110,"ben",8,4,"girece?im","exp_2"
"145",1,110,"ben",8,5,"ehliyet","exp_2"
"146",1,110,"ben",8,6,"s?nav?","exp_2"
"147",1,110,"ben",8,7,"i?in","exp_2"
"148",1,110,"ben",8,8,"?ok","exp_2"
"149",1,110,"ben",8,9,"heyecanl?y?m","exp_2"
"150",1,110,"ben",8,10,"bu","exp_2"
"151",1,110,"ben",8,11,"y?zden","exp_2"
"152",1,110,"ben",8,12,"r?yamda","exp_2"
"153",1,110,"ben",8,13,"hep","exp_2"
"154",1,110,"ben",8,14,"s?navdan","exp_2"
"155",1,110,"ben",8,15,"kal?yorum.","exp_2"
"156",1,155,"identical",5,1,"Her","exp_2"
"157",1,155,"identical",5,2,"ak?am","exp_2"
"158",1,155,"identical",5,3,"parkta","exp_2"
"159",1,155,"identical",5,4,"be?","exp_2"
"160",1,155,"identical",5,5,"tur","exp_2"
"161",1,155,"identical",5,6,"ko?ar?z","exp_2"
"162",1,155,"identical",5,7,"ama","exp_2"
"163",1,155,"identical",5,8,"bir","exp_2"
"164",1,155,"identical",5,9,"t?rl?","exp_2"
"165",1,155,"identical",5,10,"zay?flayamad?k.","exp_2"
"166",1,89,"identical",3,1,"K?lt?rel","exp_2"
"167",1,89,"identical",3,2,"etkile?imde","exp_2"
"168",1,89,"identical",3,3,"dil","exp_2"
"169",1,89,"identical",3,4,"?ok","exp_2"
"170",1,89,"identical",3,5,"?nemlidir.","exp_2"
"171",1,158,"ben",4,1,"Selma'n?n","exp_2"
"172",1,158,"ben",4,2,"yeni","exp_2"
"173",1,158,"ben",4,3,"ta??naca??","exp_2"
"174",1,158,"ben",4,4,"evi","exp_2"
"175",1,158,"ben",4,5,"temizledik","exp_2"
"176",1,158,"ben",4,6,"ve","exp_2"
"177",1,158,"ben",4,7,"yorgunluktan","exp_2"
"178",1,158,"ben",4,8,"yemek","exp_2"
"179",1,158,"ben",4,9,"bile","exp_2"
"180",1,158,"ben",4,10,"yiyemedik.","exp_2"
"181",1,92,"ben",4,1,"Is?t?c?y?","exp_2"
"182",1,92,"ben",4,2,"kullanmaya","exp_2"
"183",1,92,"ben",4,3,"ba?larsak","exp_2"
"184",1,92,"ben",4,4,"k??","exp_2"
"185",1,92,"ben",4,5,"gelmi?tir","exp_2"
"186",1,92,"ben",4,6,"demektir.","exp_2"
"187",1,102,"ben",5,1,"Yeni","exp_2"
"188",1,102,"ben",5,2,"ald???m","exp_2"
"189",1,102,"ben",5,3,"tabloyu","exp_2"
"190",1,102,"ben",5,4,"arabayla","exp_2"
"191",1,102,"ben",5,5,"eve","exp_2"
"192",1,102,"ben",5,6,"getirdik","exp_2"
"193",1,102,"ben",5,7,"ama","exp_2"
"194",1,102,"ben",5,8,"bir","exp_2"
"195",1,102,"ben",5,9,"bakt?k","exp_2"
"196",1,102,"ben",5,10,"ki","exp_2"
"197",1,102,"ben",5,11,"tablo","exp_2"
"198",1,102,"ben",5,12,"?izilmi?.","exp_2"
